"","x"
"1",2436.57853997202
"2",17762.2160338775
"3",1331.15095462258
"4",54794.7491629494
"5",866.351568282901
"6",4642.59744432558
"7",1671.60897032052
"8",6154.20551328772
"9",1503.8050094447
"10",1904.99135553739
"11",5770.72294355508
"12",1645.99358706001
"13",1128.50615000936
"14",2644.95715242163
"15",1341.30079103247
"16",8251.39635928314
"17",153123.421069152
"18",4359.85178534779
"19",34182.0228816123
"20",4092.38229241242
"21",25209.8618653571
"22",12117.0324876309
"23",16990.3244066058
"24",1861.04101582109
"25",209314.859506258
"26",2497.12502734475
"27",1347.65401809828
"28",11218.8790891133
"29",2654.01173729691
"30",1414.54812361972
"31",11093.500909705
"32",1981.95100089572
"33",7668.8021979052
"34",1989.34751792953
"35",19656.3182136943
"36",12223.8455264085
"37",1269.97458038468
"38",4809.393357914
"39",1652.45492442676
"40",4282.70666009923
"41",1255.39717059938
"42",6870.73133763369
"43",2044.53760920484
"44",3504.65270365576
"45",1229.83659192709
"46",2665.48412737404
"47",14249.504825147
"48",2437.39891282906
"49",1572.90146701426
"50",1247.2140910738
"51",10779.3956841248
"52",2856.36616075689
"53",2204.3364207273
"54",23748.8105541552
"55",686.740009267071
"56",2062.7494275219
"57",728.406552424816
"58",118532.366176452
"59",659.714593497396
"60",12504.7585437652
"61",1189.19981426705
"62",3694.94939970844
"63",2316.65520549004
"64",1624.90654989539
"65",603.511530166404
"66",16318.1244248703
"67",1999.97169908698
"68",1295.59677398605
"69",8548.93912255184
"70",5363.3245293856
"71",11049.8913944801
"72",4206.76846667629
"73",3891.07960318064
"74",124346.294377705
"75",4025.7739742213
"76",1085.24051387691
"77",6977.48446556023
"78",5436.66321746484
"79",3034.11937318752
"80",7354.30253298716
"81",2259.08518504717
"82",1286.90163022313
"83",2484.20609538089
"84",28873.4372704441
"85",3348.51606450795
"86",4630.16981237991
"87",4804.79911351654
"88",2179.69061817355
"89",3208.87282275091
"90",13432.2759640599
"91",175186.040822915
"92",35999.9571276967
"93",4174.07394168911
"94",2704.80291137928
"95",1022.49817330551
"96",6646.41542769318
"97",7765.41942249802
"98",3406.4754112566
"99",3173.5764273526
"100",10984.2891872979
"101",21290.8637008674
"102",11477.6411983236
"103",2457.719931469
"104",14693.3941970004
"105",29689.5231896069
"106",18162.3497746569
"107",715.149276211384
"108",3294.19194121347
"109",5652.68682982525
"110",4293.7782701047
"111",20379.8936786314
"112",1841.79203433392
"113",1232.1836827884
"114",12196.1780814955
"115",4295.82689208787
"116",11685.1031553573
"117",996.243786125689
"118",4335.89278289371
"119",1848.13824681144
"120",1113.02415731374
"121",28810.7141135366
"122",1007.13535974169
"123",7707.18619670334
"124",10752.4099029966
"125",3449.31359440307
"126",6578.39687266117
"127",3109.5324171586
"128",110648.076262815
"129",4300.92861232511
"130",71611.7832665028
"131",1046.45288065071
"132",7491.44268577219
"133",4650.10163243743
"134",1563.5177873354
"135",1570.05905386181
"136",11952.4719723477
"137",644.273935257297
"138",23899.4522438993
"139",17055.3785787802
"140",8615.63101137167
"141",8117.16136824551
"142",1081.69576684958
"143",13845.6499259224
"144",951.710634195827
"145",984.406597530318
"146",1515.13737030319
"147",3345.58578052017
"148",36680.2405835425
"149",11429.1862247542
"150",1832.76430074727
"151",5274.72550151289
"152",1826.379077303
"153",1576.47223177814
"154",31331.0181412057
"155",1253.90663856102
"156",13809.7898186822
"157",2598.17986608832
"158",1925.04580188662
"159",10200.4615643997
"160",24218.8944766129
"161",989.779507749436
"162",5993.49652290829
"163",2312.93796950019
"164",35864.0730509195
"165",1085.90878456034
"166",8479.71684622437
"167",1610.15669669243
"168",1563.18138818007
"169",2582.07539326725
"170",1339.70085236873
"171",10402.774655849
"172",1030.41933043671
"173",2613.28977452923
"174",1623.37247679871
"175",8781.0065407704
"176",30434.2303577939
"177",1121.56751078548
"178",9108.55589463226
"179",1383.43447564655
"180",1181.77994548039
"181",3427.77457073281
"182",2316.39521483577
"183",8304.89026827775
"184",5281.88692314696
"185",5879.61213990864
"186",1611.58705052078
"187",1986.1966322588
"188",-954.131220942481
"189",1643.61815037699
"190",949.410809440843
"191",32231.0771216514
"192",5003.70219392784
"193",1119.13498134244
"194",3948.3559601827
"195",34459.8208468357
"196",4673.1653909509
"197",1637.17814116098
"198",2311.14370259553
"199",441.68533452728
"200",3343.84720844816
"201",6075.38047708281
"202",1819.49155998494
"203",8222.56760826071
"204",2048.03594171482
"205",4291.77689553506
"206",1618.06578859326
"207",2398.75652039073
"208",9038.57551570799
"209",4129.74803568174
"210",5069.98938929138
"211",3139.72359812358
"212",2960.20350292869
"213",8851.19979389527
"214",14529.921691048
"215",4235.73130370387
"216",-166.410877750421
"217",10384.8171940012
"218",5822.79262565935
"219",3955.49019591535
"220",4257.73686892918
"221",2227.03146642296
"222",227764.407777358
"223",4566.20688072543
"224",9418.57358673756
"225",2410.99783503522
"226",1769.25685911424
"227",6377.93955119086
"228",2235.38991693031
"229",44653.8614550068
"230",29267.534152573
"231",3866.62538700907
"232",2335.81627080532
"233",34982.2434531449
"234",818.828111206282
"235",1651.63511859332
"236",1863.59290965274
"237",4282.86318627558
"238",20994.014651598
"239",1409.80930321805
"240",2791.74366463184
"241",967.2217309677
"242",63.9453491118999
"243",6792.14839226761
"244",993.610421399712
"245",2284.46884858857
"246",11078.4140229453
"247",961.119346933917
"248",10745.5043982416
"249",11847.8268208409
"250",4378.16912627307
"251",2661.50998043422
"252",3567.65408551124
"253",22165.8623593234
"254",1685.68163192206
"255",3567.81510904224
"256",7314.9876276185
"257",4669.47806782115
"258",26574.9319123069
"259",4009.78086075532
"260",4002.97912568808
"261",9856.55277135512
"262",6337.24190142658
"263",108864.700284754
"264",11294.5815782072
"265",4270.22240904471
"266",9979.4164124107
"267",1871.72271701326
"268",577.205586626474
"269",4936.10478360105
"270",11741.9502147728
"271",27797.7477297194
"272",2174.44319219786
"273",829.937370005545
"274",3945.16361878261
"275",8848.21418647594
"276",25143.9579821136
"277",6102.17973610293
"278",2679.68108308623
"279",1483.60159610938
"280",6258.4693103899
"281",1911.69636870979
"282",2265.96146201333
"283",2492.77118396441
"284",49204.9228289301
"285",1498.42442669997
"286",1625.54005354369
"287",1378.36718246448
"288",1611.79316743997
"289",7071.76451394605
"290",19510.2109891326
"291",2228.4329480514
"292",6732.19758684924
"293",11973.1220711161
"294",3122.5122196162
"295",2358.06395735559
"296",1615.007329638
"297",612.723240452971
"298",3942.65532747842
"299",10091.5706559682
"300",2233.49838838026
"301",1403.99161419542
"302",12016.721137198
"303",5593.87357040872
"304",43816.6054020743
"305",1641.0209805059
"306",4525.068550415
"307",1084.49617510092
"308",14722.0701807399
"309",6400.78463219941
"310",1905.14716495326
"311",8878.88819452749
"312",798.861417781805
"313",3006.27556634866
"314",9751.52776274029
"315",6321.84294874975
"316",7809.34561462198
"317",4433.64175045479
"318",1602.12020446762
"319",4432.7456629528
"320",3575.43001347638
"321",5084.32411204164
"322",1423.67005236272
"323",4382.35944558324
"324",8285.17794585981
"325",10007.0497067572
"326",1509.22192548202
"327",900.59147761257
"328",11686.7187222775
"329",5283.28274315717
"330",1111.05772626739
"331",2687.95661434311
"332",-663.232939463355
"333",763.985780117745
"334",4257.47069788097
"335",1107.01516396576
"336",12636.51910501
"337",748.403721912016
"338",32105.1061076548
"339",9408.94213555678
"340",1707.96797899437
"341",15771.8798540223
"342",1681.22667244567
"343",8784.19754517472
"344",1155.0835896681
"345",10250.3990339203
"346",2579.29373607988
"347",3416.77203027559
"348",2722.69808147273
"349",184216.558304523
"350",1243.43503109468
"351",10000.3221269917
"352",1848.92186373192
"353",86304.5988394211
"354",2994.74970391365
"355",9083.08374867447
"356",4810.61618359143
"357",4568.71768331096
"358",1036.3273691942
"359",15396.2527448861
"360",1233.31208297048
"361",3766.97177251939
"362",1525.61511797107
"363",9331.05193776179
"364",4265.54936566675
"365",65077.4427815464
"366",5487.33337912737
"367",6358.4269068911
"368",982.479667271633
"369",2995.90885131789
"370",7242.98847003196
"371",5215.51731954395
"372",3096.40453672605
"373",1157.13183594295
"374",12296.9666593861
"375",14787.7996836527
"376",3055.3399900518
"377",2116.19937868865
"378",1911.66584668319
"379",1766.71400905731
"380",3264.01684541464
"381",32296.1719158359
"382",173.226229931171
"383",4400.89722570291
"384",1925.02661379574
"385",747.893052360487
"386",975.600875634348
"387",545.356417532324
"388",3747.02545640918
"389",10563.8079620712
"390",4660.61288555239
"391",4720.99491675126
"392",1968.33590422009
"393",16993.7807003581
"394",42888.0757601594
"395",939.961111477182
"396",1736.15319943152
"397",773.666602926438
"398",2127.92322983766
"399",13129.8895268273
"400",44855.115486226
"401",2339.07690540444
"402",4028.85015815476
"403",2453.18141817254
"404",91287.4791809452
"405",1919.92231736485
"406",1896.34205175942
"407",5600.2889773645
"408",880.947223848192
"409",2159.51690464449
"410",12644.2585697135
"411",2333.85482836949
"412",5005.28121510244
"413",444.371963118969
"414",7277.49737027557
"415",20537.1457637024
"416",11042.7007064661
"417",2030.35086113311
"418",1255.82000771065
