CONSECUTIVO,COMPRA_CARTERA,EDAD,ACIERTA,QUANTO,ACT_LAB,ANT_DAV,SALDO_DAV_ANT,SALDO_DAV_ACT,CUPO_DAV,ANT_SF,SALDO_SF_ANT,SALDO_SF_ACT,CUPO_SF,NUM_PROD_P1,NUM_PROD_P2,NUM_PROD_P3,NUM_PROD_P4,ENTIDAD_COMPRA
1,1,50.0,894.0,14227.0,I,3.08,6884.26,3092.32,68900.0,14.17,0.0,3742.0,68900.0,0.0,2.0,1.0,1.0,P2
2,1,60.0,654.0,8322.0,E,14.08,3504.91,1534.87,5599.0,10.67,100351.0,123119.0,5599.0,1.0,1.0,0.0,0.0,P1
3,0,40.0,806.0,1681.0,E,4.5,1231.0,1637.0,0.0,3.42,0.0,13500.0,0.0,1.0,0.0,0.0,1.0,
4,1,40.0,807.0,12661.0,E,1.5,13282.84,1360.74,11999.0,12.25,140353.0,194166.0,11999.0,1.0,9.0,2.0,1.0,P2
5,0,50.0,823.0,1697.0,,0.92,1019.0,1019.0,1999.0,0.5,14078.0,14236.0,1999.0,0.0,1.0,0.0,0.0,
6,0,50.0,830.0,4248.0,E,2.0,4864.0,5064.0,0.0,5.67,3041.0,3828.0,0.0,0.0,5.0,1.0,0.0,
7,1,40.0,873.0,16595.0,E,2.58,4993.23,2461.33,19999.0,3.08,872.0,2383.0,19999.0,5.0,1.0,0.0,0.0,P1
8,0,60.0,846.0,16462.0,I,5.58,1777.0,1048.0,68510.0,16.5,71.0,71.0,68510.0,0.0,0.0,3.0,3.0,
9,1,32.0,741.0,3047.0,E,4.5,4784.94,106.0,4509.0,6.08,1460.0,8421.0,4509.0,2.0,0.0,1.0,1.0,P1
10,0,24.0,653.0,1093.0,E,0.33,1067.0,1200.0,1599.0,0.0,0.0,0.0,1599.0,0.0,0.0,0.0,0.0,
11,0,24.0,469.0,3817.0,E,0.92,24005.0,24153.0,0.0,1.75,3073.0,3688.0,0.0,0.0,0.0,1.0,0.0,
12,0,24.0,619.0,2674.0,E,0.0,25000.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13,0,70.0,851.0,3759.0,E,20.25,188.0,212.0,15700.0,9.92,0.0,0.0,15700.0,0.0,0.0,1.0,0.0,
14,1,32.0,860.0,10856.0,E,4.42,1302.23,149.5,0.0,5.67,73068.0,144649.0,0.0,0.0,2.0,1.0,0.0,P2
15,0,24.0,763.0,1954.0,E,1.92,12610.0,12846.0,2499.0,0.0,0.0,0.0,2499.0,0.0,0.0,0.0,0.0,
16,1,40.0,844.0,8744.0,E,13.25,1623.16,458.0,14999.0,10.25,20457.0,33794.0,14999.0,0.0,3.0,1.0,0.0,P2
17,0,60.0,795.0,6566.0,,5.42,103.0,980.0,37000.0,0.0,0.0,0.0,37000.0,0.0,0.0,0.0,0.0,
18,0,60.0,679.0,4662.0,I,1.08,5899.0,5020.0,5399.0,8.67,6420.0,3377.0,5399.0,0.0,2.0,1.0,2.0,
19,0,60.0,739.0,4430.0,E,0.5,1676.0,2264.0,11999.0,1.0,0.0,0.0,11999.0,0.0,2.0,0.0,0.0,
20,0,60.0,720.0,1474.0,E,9.0,544.0,640.0,799.0,0.0,0.0,0.0,799.0,0.0,0.0,0.0,0.0,
21,1,32.0,873.0,9465.0,E,3.17,7629.25,166.38,39999.0,0.17,0.0,13233.0,39999.0,1.0,0.0,0.0,0.0,P1
22,1,60.0,795.0,23485.0,E,36.42,10119.41,2968.8,21689.0,27.5,772755.0,793777.0,21689.0,1.0,8.0,0.0,1.0,P2
23,0,40.0,845.0,5175.0,E,2.75,9588.0,5534.0,9999.0,6.25,2597.0,2782.0,9999.0,0.0,0.0,3.0,2.0,
24,0,70.0,871.0,6666.0,E,39.92,454.0,192.0,41469.0,29.08,3958.0,933.0,41469.0,1.0,1.0,1.0,0.0,
25,0,32.0,760.0,1763.0,E,2.67,3492.0,3616.0,0.0,5.0,13899.0,14372.0,0.0,0.0,2.0,2.0,0.0,
26,0,60.0,459.0,1970.0,E,2.0,2938.0,3531.0,4399.0,6.67,6252.0,10062.0,4399.0,2.0,0.0,0.0,2.0,
27,1,70.0,801.0,23427.0,I,8.67,2202.85,1091.08,76100.0,6.58,155434.0,171115.0,76100.0,0.0,4.0,1.0,1.0,P2
28,0,32.0,701.0,3362.0,I,0.25,9806.0,8039.0,0.0,6.42,39184.0,39603.0,0.0,0.0,9.0,0.0,3.0,
29,0,70.0,729.0,5415.0,E,1.75,4377.0,4453.0,0.0,2.75,70625.0,66977.0,0.0,0.0,0.0,0.0,3.0,
30,0,40.0,881.0,2525.0,,1.67,1994.0,2180.0,4099.0,17.0,1661.0,1661.0,4099.0,0.0,0.0,1.0,2.0,
31,0,40.0,525.0,2616.0,I,2.58,782.0,913.0,0.0,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
32,0,40.0,657.0,2890.0,E,0.42,11561.0,11707.0,0.0,1.17,16852.0,17147.0,0.0,0.0,2.0,0.0,0.0,
33,0,32.0,753.0,2293.0,E,0.42,3867.0,3896.0,0.0,5.08,25897.0,24620.0,0.0,0.0,5.0,2.0,0.0,
34,0,32.0,730.0,1457.0,E,5.83,742.0,818.0,499.0,0.0,0.0,0.0,499.0,0.0,0.0,0.0,0.0,
35,0,32.0,784.0,4422.0,E,4.0,37312.0,37784.0,21500.0,0.0,0.0,0.0,21500.0,0.0,0.0,0.0,0.0,
36,1,32.0,755.0,3469.0,E,2.5,1891.92,629.9,5937.0,3.58,0.0,870.0,5937.0,4.0,0.0,0.0,0.0,P1
37,0,50.0,875.0,4654.0,E,10.75,846.0,1244.0,2399.0,9.33,7068.0,6516.0,2399.0,0.0,3.0,1.0,0.0,
38,1,40.0,827.0,13465.0,E,1.5,18812.99,133.2,102999.0,4.5,4795.0,21956.0,102999.0,0.0,1.0,0.0,0.0,P2
39,1,32.0,855.0,4074.0,E,0.5,1774.13,709.93,7999.0,1.17,26.0,1252.0,7999.0,1.0,0.0,0.0,0.0,P1
40,0,50.0,456.0,4728.0,E,2.08,14121.0,13174.0,5399.0,6.75,24979.0,24979.0,5399.0,0.0,1.0,3.0,4.0,
41,1,40.0,489.0,5126.0,,2.08,1636.33,571.73,2699.0,6.25,15297.0,16801.0,2699.0,0.0,3.0,0.0,0.0,P2
42,1,40.0,699.0,20007.0,I,1.58,2758.65,1136.21,130000.0,6.83,88771.0,95088.0,130000.0,4.0,0.0,2.0,0.0,P1
43,0,40.0,519.0,2119.0,E,2.08,5515.0,5615.0,99.0,15.08,0.0,0.0,99.0,0.0,0.0,0.0,0.0,
44,1,40.0,713.0,8032.0,I,1.83,2034.9,1001.16,3999.0,10.33,129419.0,130428.0,3999.0,2.0,3.0,0.0,4.0,P4
45,0,40.0,697.0,8504.0,E,1.75,50775.0,47280.0,14000.0,9.83,72885.0,40515.0,14000.0,0.0,2.0,0.0,2.0,
46,1,60.0,881.0,5896.0,,31.25,2475.8,291.2,23500.0,9.67,1545.0,3252.0,23500.0,0.0,1.0,1.0,0.0,P2
47,1,32.0,797.0,16380.0,E,7.25,27839.2,449.22,62300.0,10.42,104321.0,133150.0,62300.0,0.0,6.0,0.0,0.0,P2
48,0,40.0,598.0,2583.0,E,1.83,34754.0,35098.0,0.0,4.92,2353.0,2231.0,0.0,0.0,0.0,1.0,1.0,
49,0,70.0,747.0,5374.0,P,25.92,823.0,2735.0,13922.0,1.58,12794.0,17756.0,13922.0,0.0,2.0,0.0,1.0,
50,1,24.0,836.0,6103.0,E,4.83,1949.2,744.1,37719.0,0.75,437.0,1775.0,37719.0,0.0,1.0,0.0,0.0,P2
51,1,40.0,574.0,10624.0,E,9.92,6136.87,2181.85,3099.0,3.58,66765.0,69070.0,3099.0,0.0,1.0,0.0,2.0,P4
52,1,40.0,787.0,10591.0,E,2.92,2656.74,1267.56,0.0,9.33,4075.0,6083.0,0.0,0.0,2.0,0.0,0.0,P2
53,0,32.0,759.0,1548.0,E,0.42,4449.0,420.0,7500.0,0.0,0.0,0.0,7500.0,0.0,0.0,0.0,0.0,
54,1,50.0,793.0,7867.0,I,5.42,11606.37,272.07,23999.0,11.0,66809.0,83723.0,23999.0,0.0,5.0,2.0,2.0,P2
55,0,40.0,591.0,3436.0,E,0.17,5724.0,5895.0,0.0,6.5,16464.0,15735.0,0.0,1.0,1.0,0.0,1.0,
56,1,32.0,775.0,4645.0,E,0.58,1612.04,0.0,8000.0,0.58,11906.0,15494.0,8000.0,0.0,2.0,1.0,0.0,P2
57,0,70.0,748.0,11204.0,I,4.42,14256.0,14043.0,27999.0,19.08,37271.0,36919.0,27999.0,0.0,1.0,0.0,2.0,
58,0,50.0,752.0,1399.0,I,0.17,2183.0,2183.0,0.0,4.25,2926.0,3734.0,0.0,0.0,0.0,0.0,2.0,
59,0,32.0,800.0,2161.0,E,0.42,243.0,633.0,2999.0,1.08,123.0,123.0,2999.0,0.0,0.0,1.0,1.0,
60,1,32.0,787.0,2426.0,E,1.42,6568.97,1237.38,2999.0,2.17,0.0,5499.0,2999.0,0.0,0.0,1.0,0.0,P3
61,1,40.0,812.0,3163.0,E,2.25,2027.47,1000.62,4999.0,12.25,1303.0,2022.0,4999.0,0.0,0.0,1.0,2.0,P4
62,1,32.0,775.0,3743.0,E,0.17,1797.76,642.9,3599.0,0.67,1892.0,3052.0,3599.0,0.0,2.0,0.0,0.0,P2
63,1,50.0,713.0,11875.0,E,7.08,4914.44,1567.86,999.0,2.42,82398.0,84156.0,999.0,0.0,0.0,0.0,1.0,P4
64,0,70.0,872.0,10699.0,E,12.08,24751.0,22553.0,47700.0,25.33,25275.0,25275.0,47700.0,0.0,3.0,0.0,0.0,
65,0,40.0,720.0,2873.0,E,3.17,14482.0,20591.0,21499.0,2.5,101.0,10138.0,21499.0,0.0,2.0,0.0,0.0,
66,1,40.0,482.0,5175.0,,8.5,8085.01,3116.15,16071.0,5.75,40.0,6219.0,16071.0,0.0,2.0,1.0,0.0,P2
67,1,32.0,700.0,2368.0,E,2.17,3331.22,1399.42,3399.0,3.25,8594.0,14583.0,3399.0,1.0,2.0,0.0,0.0,P2
68,0,50.0,559.0,3014.0,E,20.0,5307.0,6345.0,4199.0,6.17,500.0,595.0,4199.0,0.0,0.0,0.0,1.0,
69,0,60.0,778.0,2964.0,E,0.25,6898.0,7177.0,0.0,1.58,9483.0,9494.0,0.0,0.0,0.0,1.0,1.0,
70,0,40.0,702.0,5357.0,E,1.08,4947.0,4702.0,4999.0,6.33,45437.0,45886.0,4999.0,1.0,0.0,1.0,1.0,
71,0,32.0,772.0,2948.0,E,0.25,2155.0,485.0,3999.0,3.08,2543.0,1460.0,3999.0,0.0,1.0,1.0,0.0,
72,0,40.0,679.0,1854.0,,2.5,1837.0,2010.0,2099.0,12.08,132.0,218.0,2099.0,0.0,1.0,1.0,0.0,
73,0,32.0,711.0,2790.0,E,3.83,1984.0,2479.0,4399.0,3.92,7243.0,7708.0,4399.0,0.0,4.0,3.0,1.0,
74,0,70.0,667.0,21779.0,I,7.75,43737.0,41153.0,39700.0,13.75,108007.0,165765.0,39700.0,2.0,7.0,0.0,1.0,
75,0,24.0,810.0,3627.0,,1.83,923.0,1064.0,3099.0,2.42,1234.0,863.0,3099.0,0.0,3.0,0.0,0.0,
76,0,60.0,776.0,1722.0,E,4.08,3832.0,4128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
77,0,24.0,738.0,1382.0,E,2.25,1027.0,1115.0,999.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,
78,0,40.0,654.0,1722.0,E,0.25,11821.0,11860.0,0.0,10.5,3345.0,3368.0,0.0,0.0,1.0,0.0,2.0,
79,0,60.0,747.0,2583.0,E,7.92,224.0,214.0,3999.0,12.5,9168.0,10148.0,3999.0,0.0,0.0,3.0,2.0,
80,1,50.0,799.0,6045.0,E,0.67,17741.28,2640.69,9699.0,10.5,40901.0,49240.0,9699.0,0.0,5.0,2.0,2.0,P2
81,0,70.0,870.0,22657.0,E,14.25,39261.0,10857.0,44360.0,6.67,227368.0,255837.0,44360.0,0.0,5.0,0.0,1.0,
82,0,50.0,771.0,3113.0,E,2.0,30095.0,30283.0,4700.0,2.5,3679.0,4041.0,4700.0,0.0,1.0,2.0,1.0,
83,0,60.0,791.0,2500.0,E,4.08,41871.0,42754.0,12000.0,3.42,12254.0,12700.0,12000.0,0.0,2.0,0.0,1.0,
84,0,50.0,778.0,7237.0,,4.75,9709.0,7360.0,13200.0,10.58,23737.0,24305.0,13200.0,0.0,2.0,3.0,0.0,
85,0,40.0,789.0,1623.0,E,0.25,1199.0,1349.0,2299.0,4.92,522.0,522.0,2299.0,0.0,0.0,2.0,0.0,
86,0,40.0,766.0,8587.0,E,4.75,22078.0,22141.0,8499.0,13.5,54942.0,54761.0,8499.0,0.0,6.0,3.0,2.0,
87,1,40.0,859.0,9945.0,E,8.42,2386.13,926.43,32779.0,3.17,86096.0,94954.0,32779.0,0.0,2.0,1.0,0.0,P2
88,0,32.0,721.0,7312.0,E,2.25,11068.0,9912.0,48600.0,0.0,14063.0,0.0,48600.0,0.0,0.0,0.0,1.0,
89,1,60.0,346.0,4041.0,E,6.0,32446.96,9365.57,21000.0,3.5,26106.0,60295.0,21000.0,0.0,2.0,1.0,3.0,P4
90,0,24.0,732.0,1366.0,,1.17,638.0,443.0,999.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,
91,0,40.0,690.0,2823.0,E,5.83,14166.0,4430.0,4859.0,1.83,31221.0,32000.0,4859.0,0.0,6.0,1.0,2.0,
92,1,32.0,281.0,3801.0,E,5.67,2367.33,8.34,3059.0,4.25,38499.0,40310.0,3059.0,0.0,3.0,1.0,0.0,P2
93,0,40.0,856.0,3668.0,,1.17,10000.0,10239.0,12999.0,9.83,18496.0,8976.0,12999.0,2.0,1.0,0.0,2.0,
94,1,50.0,845.0,14699.0,E,13.75,12914.46,3009.08,22499.0,12.5,20045.0,25762.0,22499.0,1.0,0.0,2.0,3.0,P4
95,1,24.0,604.0,6666.0,I,2.75,25883.02,499.66,44400.0,2.5,62453.0,92369.0,44400.0,1.0,3.0,1.0,0.0,P2
96,0,40.0,804.0,2426.0,E,2.42,7092.0,7286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
97,0,40.0,684.0,3453.0,E,2.67,12771.0,12554.0,5999.0,0.0,0.0,0.0,5999.0,0.0,0.0,0.0,0.0,
98,0,32.0,641.0,8148.0,I,3.58,28290.0,29144.0,48050.0,0.0,0.0,0.0,48050.0,0.0,0.0,0.0,0.0,
99,0,32.0,734.0,4919.0,E,8.92,105.0,1000.0,1500.0,0.92,52722.0,52919.0,1500.0,2.0,0.0,0.0,0.0,
100,0,32.0,768.0,2616.0,E,0.92,3337.0,3676.0,4299.0,4.25,2791.0,6717.0,4299.0,0.0,1.0,0.0,1.0,
101,1,40.0,849.0,9904.0,E,6.67,4194.5,951.35,18000.0,0.92,308.0,6997.0,18000.0,2.0,0.0,0.0,0.0,P1
102,0,24.0,711.0,1358.0,I,0.08,1500.0,1500.0,1499.0,0.0,0.0,0.0,1499.0,0.0,0.0,0.0,0.0,
103,1,32.0,609.0,3867.0,E,4.58,6210.6,2734.45,10999.0,0.08,12100.0,15328.0,10999.0,2.0,0.0,0.0,0.0,P1
104,1,40.0,766.0,12007.0,E,11.75,4435.3,2136.28,6099.0,3.25,81204.0,84150.0,6099.0,0.0,4.0,2.0,0.0,P2
105,1,24.0,770.0,2376.0,,1.75,1902.23,844.78,1899.0,5.67,3250.0,4066.0,1899.0,0.0,0.0,0.0,2.0,P4
106,0,50.0,695.0,4869.0,E,0.67,1792.0,1917.0,4000.0,0.5,7932.0,7947.0,4000.0,0.0,0.0,0.0,2.0,
107,0,40.0,497.0,3320.0,E,12.17,173.0,173.0,749.0,11.0,6354.0,6652.0,749.0,0.0,1.0,1.0,3.0,
108,0,40.0,729.0,3792.0,I,2.08,9996.0,10040.0,5299.0,0.5,1434.0,1194.0,5299.0,0.0,0.0,1.0,0.0,
109,0,32.0,819.0,3676.0,E,0.33,9870.0,11849.0,13199.0,7.83,6124.0,6408.0,13199.0,0.0,0.0,1.0,3.0,
110,0,40.0,617.0,8935.0,E,1.58,34112.0,34112.0,0.0,9.75,37542.0,39009.0,0.0,0.0,2.0,2.0,1.0,
111,1,40.0,856.0,4861.0,I,6.17,2843.67,976.3,17389.0,6.75,1066.0,6570.0,17389.0,0.0,1.0,2.0,0.0,P3
112,0,60.0,830.0,6956.0,E,4.58,35545.0,36172.0,0.0,5.17,168688.0,91792.0,0.0,0.0,1.0,1.0,6.0,
113,1,50.0,664.0,6243.0,I,2.17,1847.91,835.32,2999.0,4.58,9096.0,10057.0,2999.0,0.0,0.0,1.0,5.0,P4
114,1,50.0,915.0,17489.0,,10.67,1995.96,753.11,36000.0,11.58,15809.0,16822.0,36000.0,0.0,3.0,1.0,0.0,P2
115,1,40.0,869.0,14160.0,E,3.17,2795.02,897.06,90000.0,7.08,2756.0,4828.0,90000.0,0.0,2.0,3.0,0.0,P3
116,0,50.0,392.0,2707.0,E,1.58,12400.0,12400.0,0.0,12.0,3505.0,3505.0,0.0,0.0,1.0,1.0,0.0,
117,1,50.0,893.0,13581.0,E,10.42,3332.31,1136.38,75600.0,10.67,38687.0,41199.0,75600.0,0.0,0.0,3.0,2.0,P3
118,1,50.0,884.0,16222.0,E,25.17,2076.69,961.77,97800.0,6.5,73017.0,74813.0,97800.0,1.0,3.0,1.0,0.0,P2
119,1,60.0,831.0,20669.0,E,0.5,0.0,0.0,936.0,25.67,99348.0,91101.0,936.0,2.0,6.0,1.0,3.0,P2
120,0,70.0,636.0,2252.0,E,3.5,6610.0,6610.0,0.0,11.17,6202.0,6318.0,0.0,0.0,0.0,0.0,1.0,
121,1,50.0,873.0,7850.0,E,1.92,29472.58,500.0,6999.0,5.17,0.0,47286.0,6999.0,0.0,1.0,1.0,2.0,P4
122,1,60.0,816.0,18980.0,E,5.08,24188.83,0.0,66000.0,8.08,23602.0,59748.0,66000.0,0.0,0.0,1.0,1.0,P3
123,0,40.0,754.0,2600.0,E,4.08,2379.0,2690.0,2729.0,8.42,17032.0,17219.0,2729.0,1.0,0.0,0.0,0.0,
124,0,60.0,282.0,4198.0,E,3.0,10407.0,10776.0,2999.0,11.58,17022.0,17368.0,2999.0,0.0,1.0,0.0,2.0,
125,0,32.0,684.0,4372.0,E,3.17,6009.0,6521.0,6359.0,1.42,51688.0,51706.0,6359.0,0.0,3.0,1.0,1.0,
126,0,32.0,799.0,2128.0,E,3.08,8520.0,8664.0,299.0,11.75,2163.0,1020.0,299.0,0.0,1.0,0.0,0.0,
127,0,20.0,673.0,1068.0,E,0.17,10160.0,10282.0,99.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,
128,1,32.0,737.0,9258.0,E,7.92,11819.18,2518.66,11999.0,3.08,26004.0,64727.0,11999.0,0.0,0.0,1.0,2.0,P4
129,0,32.0,419.0,2724.0,E,0.5,5132.0,5279.0,0.0,2.67,6003.0,5150.0,0.0,0.0,2.0,0.0,0.0,
130,1,70.0,884.0,4074.0,E,8.83,2379.56,480.2,3999.0,8.75,21594.0,22672.0,3999.0,0.0,0.0,0.0,4.0,P4
131,1,32.0,736.0,5126.0,E,4.33,2240.11,0.0,2999.0,0.0,0.0,4077.0,2999.0,0.0,0.0,0.0,0.0,P1
132,1,60.0,858.0,14964.0,E,5.17,2353.21,940.58,82499.0,1.5,44701.0,45584.0,82499.0,0.0,2.0,0.0,0.0,P2
133,1,50.0,889.0,12082.0,E,4.67,2644.85,0.0,64999.0,14.25,7385.0,11049.0,64999.0,0.0,4.0,0.0,0.0,P2
134,1,40.0,896.0,18185.0,I,0.5,5055.37,1129.05,49999.0,11.25,732020.0,774864.0,49999.0,1.0,9.0,3.0,3.0,P2
135,1,40.0,821.0,7212.0,E,1.83,1457.07,150.5,4999.0,7.5,0.0,2619.0,4999.0,0.0,0.0,3.0,2.0,P3
136,1,40.0,851.0,9258.0,E,1.17,3734.88,1460.28,13999.0,3.67,7332.0,17452.0,13999.0,0.0,1.0,1.0,0.0,P2
137,0,50.0,722.0,2028.0,E,4.58,16539.0,16800.0,499.0,0.0,0.0,0.0,499.0,0.0,0.0,0.0,0.0,
138,1,50.0,913.0,15568.0,E,12.83,15086.58,4113.67,18099.0,8.83,67346.0,106437.0,18099.0,0.0,2.0,2.0,0.0,P2
139,1,32.0,805.0,12910.0,I,0.75,4670.52,1578.07,39999.0,2.0,2252.0,6243.0,39999.0,0.0,1.0,0.0,0.0,P2
140,0,40.0,688.0,1937.0,E,2.25,451.0,478.0,499.0,0.0,0.0,0.0,499.0,0.0,0.0,0.0,0.0,
